Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
4.271746000,1,1,1,1,1,1,1,1
4.271772000,1,1,0,1,1,1,1,1
4.271796000,1,1,1,1,1,1,1,1
4.271826000,1,1,0,1,1,1,1,1
4.271850000,1,1,1,1,1,1,1,1
4.271866000,1,1,0,1,1,1,1,1
4.271892000,1,1,1,1,1,1,1,1
4.379220000,1,1,0,1,1,1,1,1
4.379246000,1,1,1,1,1,1,1,1
4.379388000,1,1,0,1,1,1,1,1
4.379414000,1,1,1,1,1,1,1,1
4.379422000,1,1,0,1,1,1,1,1
4.379450000,1,1,1,1,1,1,1,1
4.379462000,1,1,0,1,1,1,1,1
4.379490000,1,1,1,1,1,1,1,1
4.379504000,1,1,0,1,1,1,1,1
4.379530000,1,1,1,1,1,1,1,1
4.379550000,1,1,0,1,1,1,1,1
4.379576000,1,1,1,1,1,1,1,1
4.379598000,1,1,0,1,1,1,1,1
4.379624000,1,1,1,1,1,1,1,1
4.379650000,1,1,0,1,1,1,1,1
4.379674000,1,1,1,1,1,1,1,1
4.379704000,1,1,0,1,1,1,1,1
4.379728000,1,1,1,1,1,1,1,1
4.379746000,1,1,0,1,1,1,1,1
4.379772000,1,1,1,1,1,1,1,1
4.487528000,1,1,0,1,1,1,1,1
4.487554000,1,1,1,1,1,1,1,1
4.487696000,1,1,0,1,1,1,1,1
4.487722000,1,1,1,1,1,1,1,1
4.487730000,1,1,0,1,1,1,1,1
4.487758000,1,1,1,1,1,1,1,1
4.487770000,1,1,0,1,1,1,1,1
4.487798000,1,1,1,1,1,1,1,1
4.487812000,1,1,0,1,1,1,1,1
4.487838000,1,1,1,1,1,1,1,1
4.487858000,1,1,0,1,1,1,1,1
4.487884000,1,1,1,1,1,1,1,1
4.487906000,1,1,0,1,1,1,1,1
4.487932000,1,1,1,1,1,1,1,1
4.487958000,1,1,0,1,1,1,1,1
4.487982000,1,1,1,1,1,1,1,1
4.488012000,1,1,0,1,1,1,1,1
4.488038000,1,1,1,1,1,1,1,1
4.488054000,1,1,0,1,1,1,1,1
4.488080000,1,1,1,1,1,1,1,1
4.589292000,1,1,0,1,1,1,1,1
4.589316000,1,1,1,1,1,1,1,1
4.589464000,1,1,0,1,1,1,1,1
4.589488000,1,1,1,1,1,1,1,1
4.589498000,1,1,0,1,1,1,1,1
4.589526000,1,1,1,1,1,1,1,1
4.589538000,1,1,0,1,1,1,1,1
4.589564000,1,1,1,1,1,1,1,1
4.589580000,1,1,0,1,1,1,1,1
4.589606000,1,1,1,1,1,1,1,1
4.589626000,1,1,0,1,1,1,1,1
4.589650000,1,1,1,1,1,1,1,1
4.589674000,1,1,0,1,1,1,1,1
4.589698000,1,1,1,1,1,1,1,1
4.589724000,1,1,0,1,1,1,1,1
4.589750000,1,1,1,1,1,1,1,1
4.589778000,1,1,0,1,1,1,1,1
4.589804000,1,1,1,1,1,1,1,1
4.589820000,1,1,0,1,1,1,1,1
4.589846000,1,1,1,1,1,1,1,1
4.690144000,1,1,0,1,1,1,1,1
4.690168000,1,1,1,1,1,1,1,1
4.690312000,1,1,0,1,1,1,1,1
4.690336000,1,1,1,1,1,1,1,1
4.690346000,1,1,0,1,1,1,1,1
4.690374000,1,1,1,1,1,1,1,1
4.690386000,1,1,0,1,1,1,1,1
4.690412000,1,1,1,1,1,1,1,1
4.690428000,1,1,0,1,1,1,1,1
4.690454000,1,1,1,1,1,1,1,1
4.690474000,1,1,0,1,1,1,1,1
4.690500000,1,1,1,1,1,1,1,1
4.690522000,1,1,0,1,1,1,1,1
4.690548000,1,1,1,1,1,1,1,1
4.690572000,1,1,0,1,1,1,1,1
4.690598000,1,1,1,1,1,1,1,1
4.690630000,1,1,0,1,1,1,1,1
4.690656000,1,1,1,1,1,1,1,1
4.690672000,1,1,0,1,1,1,1,1
4.690698000,1,1,1,1,1,1,1,1
